map_seed,level,model,goal_reached,number_of_steps,collision,out_of_bound
1,1,Pure_Neural,False,5000,False,False
1,1,Neurosymbolic,True,2260,False,False
1,1,AR_PPO,True,1696,False,False
2,2,Pure_Neural,True,696,False,False
2,2,Neurosymbolic,True,1221,False,False
2,2,AR_PPO,True,625,False,False
3,3,Pure_Neural,True,12762,False,False
3,3,Neurosymbolic,True,1841,False,False
3,3,AR_PPO,False,5000,False,False
4,4,Pure_Neural,False,5000,False,False
4,4,Neurosymbolic,True,769,False,False
4,4,AR_PPO,True,598,False,False
5,5,Pure_Neural,True,2008,False,False
5,5,Neurosymbolic,True,1042,False,False
5,5,AR_PPO,False,5000,False,False
6,6,Pure_Neural,True,268,False,False
6,6,Neurosymbolic,True,1071,False,False
6,6,AR_PPO,True,290,False,False
7,7,Pure_Neural,False,5000,False,False
7,7,Neurosymbolic,True,1053,False,False
7,7,AR_PPO,False,5000,False,False
8,8,Pure_Neural,False,5000,False,False
8,8,Neurosymbolic,True,10503,False,False
8,8,AR_PPO,False,5000,False,False
9,9,Pure_Neural,False,5000,False,False
9,9,Neurosymbolic,True,1503,False,False
9,9,AR_PPO,True,4160,False,False
10,10,Pure_Neural,True,551,False,False
10,10,Neurosymbolic,True,841,False,False
10,10,AR_PPO,True,454,False,False
11,11,Pure_Neural,True,649,False,False
11,11,Neurosymbolic,True,3005,False,False
11,11,AR_PPO,True,17404,False,False
12,12,Pure_Neural,True,770,False,False
12,12,Neurosymbolic,True,1875,False,False
12,12,AR_PPO,True,609,False,False
13,13,Pure_Neural,True,2934,False,False
13,13,Neurosymbolic,True,991,False,False
13,13,AR_PPO,False,5000,False,False
14,14,Pure_Neural,False,1966,True,False
14,14,Neurosymbolic,True,4288,False,False
14,14,AR_PPO,False,1436,True,False
15,15,Pure_Neural,True,1333,False,False
15,15,Neurosymbolic,True,1631,False,False
15,15,AR_PPO,False,5000,False,False
